Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,78.4,78.7,78.7,79.1,79.3,79.7,80.0,80.1,80.4,80.9,80.9,80.6
2015,80.7,80.3,79.2,80.2,80.8,81.7,81.2,82.0,82.0,82.2,83.3,83.9
2016,84.9,83.9,84.2,84.6,84.2,83.9,84.2,83.3,84.0,83.6,83.4,84.3
2017,85.6,85.2,85.0,83.7,84.7,84.4,84.8,85.2,85.6,86.9,86.2,86.1
2018,86.5,87.6,87.6,88.0,88.2,89.0,89.3,89.8,90.2,90.8,90.9,90.9
2019,91.0,91.2,92.6,93.4,93.4,93.5,93.8,94.3,94.7,94.7,94.7,94.7
2020,94.9,94.5,94.0,89.5,90.8,92.3,91.8,92.0,92.0,93.1,93.1,93.7
2021,93.4,93.4,93.5,93.1,93.6,93.5,94.7,94.5,94.7,95.2,95.9,96.4
2022,97.3,98.0,98.7,99.0,99.4,99.6,100.1,99.9,99.8,99.8,99.8,100.1
2023,100.2,100.2,99.6,100.1,99.5,100.8,101.1,101.7,101.6,102.3,102.9,102.5
2024,102.6,104.1,104.5,105.2,105.8,106.3(P),,,,,,
