Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,227.4,227.8,228.2,228.8,227.3,228.2,227.9,228.7,229.2,230.1,229.8,230.8
2015,231.3,231.6,230.5,232.1,232.5,232.7,233.1,234.0,233.9,234.5,235.3,235.6
2016,235.9,236.3,237.0,237.1,237.7,237.3,239.9,239.8,240.2,240.5,238.0,239.9
2017,239.7,240.4,241.7,241.2,241.7,242.0,241.6,241.4,242.0,242.3,242.4,242.8
2018,243.2,243.6,244.6,244.8,245.2,246.7,245.3,245.3,245.4,245.8,245.8,246.0
2019,247.4,248.0,248.5,249.1,249.6,250.1,251.3,251.4,251.3,251.3,251.5,251.2
2020,252.0,252.1,251.7,224.8,231.1,232.5,233.0,234.8,235.4,237.1,238.2,239.3
2021,239.5,239.8,240.6,240.8,241.2,241.8,242.8,242.3,240.7,243.4,244.9,244.3
2022,244.6,244.6,245.0,246.1,247.0,247.6,249.1,249.8,250.5,250.9,251.4,252.2
2023,254.1,255.6,257.2,257.2,258.5,259.1,258.9,259.8,260.7,261.4,264.7,263.8
2024,263.3,265.7,268.2,270.4,269.4,269.8(P),,,,,,
