Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,220.6,219.7,220.3,222.1,222.8,223.2,224.7,225.8,226.4,226.7,227.0,227.5
2015,226.9,227.1,226.7,226.7,228.3,227.6,227.9,229.5,230.5,231.4,232.3,233.0
2016,233.8,233.3,233.0,234.6,234.2,233.2,233.0,233.1,234.1,233.4,233.8,234.1
2017,235.9,236.5,237.7,236.7,238.6,239.7,239.4,240.9,240.8,240.7,240.1,240.5
2018,240.7,241.8,242.4,243.6,242.3,243.7,244.8,244.7,246.1,247.0,247.2,246.9
2019,248.0,248.0,248.2,249.0,249.8,250.7,251.5,252.0,250.8,248.7,250.3,250.0
2020,250.7,250.4,250.5,218.6,223.7,229.9,236.2,240.7,243.9,246.9,248.5,250.4
2021,250.0,249.9,250.9,250.8,251.4,251.5,252.3,253.0,253.6,256.3,257.2,258.4
2022,257.9,259.1,258.5,261.0,261.7,260.9,263.5,263.6,266.7,264.1,264.5,265.1
2023,267.0,267.0,267.2,267.3,266.9,268.1,267.6,268.6,268.4,265.1,266.6,267.0
2024,267.0,266.7,266.8,269.6,268.9,269.5(P),,,,,,
