Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1930.9,1929.3,1933.6,1938.9,1939.4,1942.7,1943.8,1947.4,1951.3,1954.0,1955.5,1960.1
2015,1958.7,1960.6,1958.1,1962.5,1969.1,1969.3,1970.6,1975.1,1976.8,1980.1,1983.6,1986.6
2016,1988.6,1988.9,1990.2,1995.5,1994.8,1993.6,1999.7,1999.8,2005.6,2002.3,2000.5,2003.5
2017,2009.3,2012.3,2016.0,2012.5,2016.3,2018.6,2018.8,2021.1,2022.8,2026.8,2023.9,2025.0
2018,2028.4,2031.6,2035.9,2039.1,2040.5,2048.4,2048.1,2051.0,2054.0,2056.9,2058.9,2059.8
2019,2066.5,2067.5,2070.4,2075.8,2077.3,2078.3,2080.3,2083.6,2082.8,2080.2,2083.7,2084.2
2020,2087.6,2087.4,2080.9,1844.8,1892.2,1941.2,1962.7,1986.1,1996.0,2011.8,2016.7,2022.5
2021,2024.3,2026.5,2032.6,2032.5,2037.2,2043.6,2054.1,2055.2,2055.1,2070.8,2077.1,2083.0
2022,2082.9,2092.9,2093.2,2103.6,2105.4,2105.7,2120.2,2122.5,2128.6,2129.1,2131.3,2137.1
2023,2148.9,2151.8,2155.1,2156.1,2158.2,2164.8,2164.3,2170.0,2171.2,2170.5,2179.2,2181.0
2024,2181.7,2186.5,2193.5,2201.3,2204.8,2209.6(P),,,,,,
