Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,370.6,370.4,371.5,372.1,371.6,372.3,372.7,372.4,373.1,373.0,374.7,375.2
2015,374.6,374.9,375.5,376.1,377.2,378.0,378.2,378.9,378.9,379.9,380.0,380.0
2016,379.3,380.2,380.3,380.8,380.5,380.2,380.4,379.9,380.7,380.2,379.4,378.8
2017,379.2,379.5,379.4,379.1,378.4,379.4,378.5,378.9,378.6,378.9,377.6,380.0
2018,381.0,381.1,382.8,382.6,382.8,383.5,383.9,384.2,383.8,383.9,385.8,386.2
2019,388.5,387.4,387.4,388.0,388.1,387.1,386.8,387.4,387.0,387.4,388.0,388.1
2020,388.8,388.2,387.7,356.3,368.0,379.5,381.5,386.9,386.9,391.3,390.7,391.2
2021,391.2,392.3,393.2,392.4,393.7,394.3,396.4,396.2,396.9,401.9,402.5,403.1
2022,402.4,406.2,404.9,406.3,404.3,403.0,407.5,406.7,406.8,406.3,405.8,406.9
2023,407.6,408.1,408.6,408.4,408.0,409.1,408.5,408.5,407.8,408.9,408.7,409.5
2024,409.9,410.8,411.3,412.0,412.9,414.4(P),,,,,,
