Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,12.3,12.3,12.2,12.2,12.3,12.1,12.1,12.0,12.0,12.0,12.0,12.0
2015,12.0,12.0,12.0,12.0,12.1,12.2,12.2,12.1,12.2,12.1,12.2,12.0
2016,12.1,11.9,12.0,12.0,12.1,12.0,12.2,12.2,12.0,12.0,12.1,12.2
2017,12.0,12.1,11.9,12.0,12.0,11.9,11.9,12.0,11.8,11.9,11.9,12.0
2018,11.9,11.8,11.8,11.8,11.7,11.9,11.8,11.7,11.7,11.7,11.7,11.6
2019,11.8,11.6,11.6,11.6,11.6,11.9,11.7,11.7,11.4,11.5,11.5,11.4
2020,11.4,11.4,11.3,10.6,10.6,10.4,10.5,10.5,10.8,10.8,10.9,10.8
2021,10.8,10.8,10.8,10.9,10.8,10.7,10.7,10.7,10.9,11.0,10.9,11.1
2022,11.1,11.0,11.1,11.1,11.1,11.0,11.0,11.0,11.0,10.9,11.0,11.0
2023,10.9,10.9,10.9,10.9,11.0,10.9,10.8,10.7,10.9,11.3,11.1,11.1
2024,11.1,11.2,11.2,11.0,11.0,10.9(P),,,,,,
