Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,82.1,82.1,82.3,82.3,82.3,82.2,82.9,82.3,82.0,82.0,82.1,82.3
2015,82.2,82.2,82.2,82.2,82.2,81.9,82.5,82.0,82.0,81.7,81.6,81.8
2016,81.9,81.6,81.6,82.1,81.9,81.9,81.5,81.5,81.5,81.9,81.8,81.4
2017,81.5,81.4,81.4,81.3,82.0,81.2,80.5,80.4,80.9,80.5,80.4,80.6
2018,80.3,80.5,80.5,80.7,81.2,80.8,80.4,80.4,80.2,80.0,80.0,79.8
2019,80.2,80.3,80.4,80.2,80.0,81.1,79.9,79.3,79.6,79.5,79.3,79.0
2020,79.0,79.1,79.5,74.4,73.7,74.4,75.6,78.6,77.4,77.7,76.5,76.7
2021,76.7,76.5,76.7,77.0,76.8,77.6,78.0,78.0,77.0,77.4,77.4,77.6
2022,77.5,77.1,77.5,76.9,77.1,76.9,76.8,77.1,77.5,77.4,77.9,77.9
2023,77.6,78.2,78.1,78.4,78.8,78.4,78.3,78.3,78.6,79.2,79.3,79.3
2024,79.4,79.6,80.0,79.5,79.0,78.6(P),,,,,,
