Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3
2015,6.4,6.3,6.5,6.4,6.3,6.3,6.2,6.3,6.3,6.3,6.3,6.3
2016,6.3,6.3,6.2,6.4,6.4,6.3,6.3,6.3,6.3,6.1,6.1,6.1
2017,6.1,6.1,6.1,6.0,6.0,5.9,5.9,5.9,5.9,5.8,5.8,5.8
2018,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.5,5.5
2019,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3
2020,5.2,5.1,5.1,4.6,4.8,4.8,4.8,4.8,4.9,4.8,4.8,4.7
2021,4.7,4.7,4.7,4.7,4.8,4.9,4.9,4.8,4.8,4.8,4.8,4.8
2022,4.7,4.8,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.6,4.6,4.6
2023,4.6,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.5,4.5,4.3
2024,4.3,4.3,4.4,4.2,4.2,4.2(P),,,,,,
