Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,11.4,11.3,11.2,11.3,11.3,11.3,11.5,11.4,11.4,11.6,11.4,11.3
2015,11.2,11.2,11.1,11.2,11.2,11.2,11.1,10.9,11.0,11.0,11.0,11.2
2016,11.1,11.0,11.1,11.1,11.0,10.9,11.0,11.0,11.0,11.0,11.0,11.0
2017,11.0,11.1,11.0,11.2,11.2,11.2,11.2,11.2,11.2,11.1,11.1,11.1
2018,11.2,11.1,11.1,11.1,11.1,11.1,11.0,11.0,10.9,11.0,11.0,11.0
2019,11.0,11.0,11.1,10.9,11.0,11.0,10.9,10.9,11.0,11.0,11.1,11.1
2020,11.1,11.2,11.1,8.6,9.5,9.5,9.9,9.8,10.1,10.3,10.2,10.2
2021,10.2,10.3,10.3,10.3,10.3,10.4,10.6,10.7,10.6,10.6,10.7,10.7
2022,10.8,10.9,11.0,11.1,11.1,11.3,11.3,11.3,11.3,11.3,11.4,11.4
2023,11.5,11.6,11.6,11.6,11.6,11.8,11.9,12.0,11.8,12.1,12.2,12.4
2024,12.4,12.5,12.3,12.0,11.8,11.6(P),,,,,,
