Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,47.7,47.7,47.7,47.7,47.6,47.5,47.6,47.7,47.6,47.7,47.7,47.5
2015,47.8,47.8,47.8,47.0,47.1,47.3,47.4,47.3,47.3,47.5,47.6,47.8
2016,48.0,48.2,48.3,48.5,48.5,48.1,48.8,48.9,49.0,49.0,49.0,49.0
2017,49.3,49.3,49.5,49.5,49.8,49.9,49.9,50.0,50.0,50.1,50.1,50.1
2018,50.2,50.3,50.4,50.3,50.3,50.4,50.2,50.3,50.6,50.7,50.8,50.8
2019,50.5,50.5,50.6,50.6,50.7,50.8,50.8,51.1,51.0,51.0,51.1,51.3
2020,51.2,51.2,51.1,45.6,47.3,48.5,48.3,49.0,49.3,49.8,50.2,50.2
2021,50.1,50.5,50.8,50.7,50.7,50.5,50.6,50.5,50.3,50.4,50.5,50.5
2022,49.7,49.8,50.0,50.1,50.2,50.2,50.1,50.2,50.2,50.2,50.9,50.5
2023,50.7,50.8,50.8,51.0,51.1,51.5,51.7,51.8,52.1,52.4,52.6,52.6
2024,52.8,52.8,52.3,52.8,52.8,53.3(P),,,,,,
