Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,30.3,29.9,30.4,30.0,30.1,29.8,30.1,30.1,30.2,30.3,30.1,30.5
2015,30.4,30.5,30.3,30.3,30.5,30.4,30.1,30.1,29.9,29.7,30.1,29.3
2016,29.0,28.9,28.8,29.0,28.8,28.5,28.4,28.5,28.4,28.1,27.8,28.1
2017,28.1,28.2,28.0,28.0,27.9,27.9,28.2,28.2,28.0,27.7,27.8,27.5
2018,27.5,27.5,27.6,27.0,27.0,27.2,27.2,27.2,27.5,27.7,27.6,27.5
2019,27.5,27.6,27.5,27.9,27.8,27.6,27.7,27.8,27.7,27.8,27.9,27.8
2020,28.3,28.0,28.3,25.1,25.1,24.8,25.0,24.9,25.6,26.0,26.2,26.0
2021,26.1,26.0,26.5,26.2,26.3,26.6,26.6,26.3,26.6,26.7,26.8,26.7
2022,27.0,26.9,27.2,27.1,27.1,27.2,27.4,27.5,27.4,27.5,27.4,27.8
2023,27.5,27.7,27.5,27.9,27.7,28.3,28.2,28.2,28.3,28.2,28.0,28.1
2024,28.2,28.6,28.5,28.8,29.0,29.0(P),,,,,,
