Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,337.5,337.3,337.8,338.9,338.7,337.4,338.5,337.9,337.5,338.7,339.1,339.8
2015,340.6,340.3,340.8,339.5,339.9,339.1,339.4,338.1,338.5,337.8,337.2,337.1
2016,336.7,335.6,335.8,336.3,334.7,332.3,333.2,332.4,330.5,331.2,331.0,331.0
2017,330.0,330.4,329.9,329.3,330.0,330.0,329.3,330.0,329.6,327.7,327.7,327.3
2018,326.4,327.3,327.7,327.0,327.6,328.6,327.5,327.7,327.9,328.7,328.1,327.4
2019,328.1,328.4,329.1,329.0,330.0,332.2,331.2,330.9,332.1,330.7,329.8,328.3
2020,328.3,329.5,327.8,284.1,284.2,286.1,286.1,290.4,296.5,306.1,308.7,308.0
2021,308.2,308.0,309.4,310.2,306.2,306.8,309.3,309.3,311.1,313.7,316.0,317.0
2022,317.2,316.7,318.2,318.8,318.7,318.0,319.6,319.6,319.0,319.0,321.5,322.6
2023,324.5,324.9,325.2,325.6,325.1,329.9,328.5,329.1,330.4,332.4,332.6,334.1
2024,334.0,334.9,335.5,335.8,336.8,337.0(P),,,,,,
