Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,125.8,125.8,124.9,125.5,124.1,123.0,122.4,122.1,122.2,123.1,123.4,123.7
2015,124.2,124.3,124.6,125.2,125.9,125.8,126.3,126.9,127.3,128.1,129.1,130.0
2016,130.2,131.1,132.3,132.0,132.6,133.2,135.2,135.9,136.2,136.0,136.0,136.6
2017,138.4,139.4,140.4,141.2,142.8,144.8,145.3,146.3,147.6,149.1,149.7,150.8
2018,151.5,152.7,153.6,154.3,155.1,156.8,157.8,159.0,160.2,160.5,162.4,163.8
2019,164.9,166.1,166.6,168.6,169.7,170.5,170.9,171.4,172.2,173.1,173.9,174.6
2020,175.3,176.1,175.4,171.3,173.1,173.6,171.4,172.8,173.3,174.6,175.5,175.8
2021,175.6,175.3,177.2,177.1,177.0,178.0,179.0,179.7,181.5,182.2,183.0,185.5
2022,187.4,189.3,191.2,192.8,194.5,195.5,196.7,198.6,199.5,201.9,203.6,204.2
2023,205.7,207.0,208.4,210.2,211.8,213.6,210.5,212.0,213.9,215.1,217.3,217.4
2024,217.1,217.1,216.4,216.1,216.1,216.3(P),,,,,,
