Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,412.8,409.3,408.7,409.1,404.9,410.2,410.0,409.3,411.2,411.6,411.7,412.2
2015,410.6,410.9,410.5,409.9,409.3,406.3,403.7,408.7,408.2,409.2,411.5,410.7
2016,408.7,410.7,411.9,411.5,410.8,409.0,411.9,409.0,413.2,412.0,413.2,413.9
2017,411.2,413.2,414.0,414.1,412.7,413.8,413.6,413.8,414.6,413.6,413.6,413.4
2018,412.4,414.1,414.4,414.5,417.2,416.9,415.1,414.6,417.5,418.1,417.8,418.0
2019,421.0,420.6,421.6,420.6,421.5,420.7,418.2,427.8,423.5,423.5,423.5,427.5
2020,422.2,428.2,425.4,415.8,413.5,403.4,405.7,415.3,406.1,404.7,403.3,404.4
2021,404.2,402.5,404.1,403.9,404.1,411.5,412.1,406.4,405.1,407.4,408.0,410.9
2022,409.9,410.2,410.5,410.6,410.4,413.4,414.4,412.1,412.9,417.4,418.6,416.7
2023,419.6,421.3,422.3,424.1,424.8,425.2,426.3,425.5,424.2,427.5,427.4,428.9
2024,431.5,433.3,434.3,434.4,435.4,437.4(P),,,,,,
