Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,281.3,283.1,283.9,284.7,285.5,285.8,286.4,287.3,288.3,289.2,290.8,291.9
2015,295.9,295.2,296.2,297.3,297.7,298.5,299.1,300.2,300.2,301.9,302.4,303.7
2016,303.9,305.4,305.1,307.0,308.7,308.5,310.9,312.1,312.8,314.2,313.6,313.7
2017,314.2,315.7,317.6,320.2,319.6,320.0,320.0,320.3,321.7,322.4,322.9,323.9
2018,323.8,325.8,327.5,325.6,326.2,325.8,325.6,325.7,325.9,325.9,327.6,328.5
2019,329.5,330.6,332.0,331.1,330.0,328.7,330.2,332.2,333.9,333.5,333.8,336.7
2020,339.4,340.3,331.2,192.9,231.1,262.7,251.7,252.0,265.1,273.9,279.2,280.4
2021,281.9,282.7,286.3,293.1,300.0,306.7,312.3,316.0,319.8,321.5,323.9,326.5
2022,328.6,330.1,331.9,334.3,335.6,337.0,337.5,338.8,340.6,343.7,346.4,348.4
2023,349.6,352.7,353.3,354.0,352.9,350.2,348.5,350.9,351.4,350.9,352.5,352.5
2024,351.7,351.5,351.1,351.6,349.1,347.9(P),,,,,,
