Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,378.8,379.6,380.3,381.6,382.8,384.2,385.5,386.1,386.8,389.3,390.8,392.5
2015,392.5,394.5,395.8,396.9,399.2,400.2,401.7,403.7,403.0,406.1,407.0,407.6
2016,409.0,410.1,411.3,412.7,414.2,414.3,417.4,418.3,420.2,420.9,422.3,424.2
2017,425.2,426.8,428.5,429.6,430.4,431.3,431.5,432.7,434.1,436.0,436.8,439.1
2018,440.4,441.9,444.5,444.2,445.4,442.5,445.6,448.2,450.4,451.7,453.3,454.4
2019,455.6,458.0,459.1,460.9,462.9,460.4,460.6,467.4,468.8,469.7,473.0,474.9
2020,479.2,478.9,478.5,431.2,443.0,450.7,448.3,451.9,453.9,458.7,460.1,463.4
2021,460.1,462.1,464.2,465.9,466.1,467.7,467.4,468.9,468.8,471.6,471.4,472.8
2022,475.6,477.1,478.1,481.3,484.5,484.6,488.4,490.9,493.3,495.7,498.5,499.8
2023,502.5,504.7,507.6,509.8,509.9,515.2,520.7,521.8,525.5,531.5,534.4,535.5
2024,537.3,538.4,541.0,545.3,548.9,548.7(P),,,,,,
