Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,374.9,375.4,376.7,379.0,380.9,381.7,382.6,384.2,385.6,387.8,391.2,391.7
2015,391.6,391.9,391.4,392.3,394.4,395.0,397.1,399.1,400.1,403.1,406.8,405.5
2016,405.4,406.6,407.9,410.3,411.1,409.2,415.2,415.7,417.1,416.1,414.2,414.7
2017,416.2,416.3,417.2,417.9,418.4,419.5,418.2,418.7,423.2,421.5,421.4,423.8
2018,425.7,428.2,430.2,429.4,429.5,433.2,435.2,437.2,439.2,439.9,440.1,441.5
2019,441.8,442.6,444.4,445.4,445.7,447.9,450.3,450.0,451.0,450.4,453.1,452.7
2020,451.4,449.9,448.6,413.6,424.1,428.8,421.2,424.6,426.2,431.4,434.4,434.9
2021,438.9,442.2,446.0,443.9,446.6,445.9,447.4,449.1,450.1,457.2,457.1,460.5
2022,460.7,462.9,463.3,468.0,468.6,469.3,468.8,470.1,470.1,469.6,469.5,467.9
2023,468.8,469.8,469.8,469.4,468.4,468.8,461.3,462.3,466.6,462.2,465.1,467.7
2024,470.6,473.4,476.7,476.6,475.1,473.0(P),,,,,,
