Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2547.6,2548.9,2551.1,2560.5,2558.8,2566.9,2569.6,2572.8,2578.2,2587.2,2596.0,2603.8
2015,2606.3,2610.9,2613.8,2617.3,2625.0,2627.0,2631.9,2645.3,2647.1,2659.2,2669.6,2670.4
2016,2671.9,2682.0,2688.1,2695.9,2701.9,2697.4,2717.3,2718.8,2729.8,2731.4,2732.0,2738.0
2017,2741.4,2749.3,2757.4,2765.9,2768.4,2778.6,2779.1,2784.1,2795.2,2798.3,2801.7,2809.6
2018,2817.2,2828.9,2839.5,2838.8,2847.4,2852.9,2859.0,2866.0,2878.3,2881.7,2889.8,2895.6
2019,2907.1,2912.7,2922.2,2925.8,2931.0,2931.9,2936.3,2958.6,2960.5,2964.4,2974.1,2987.4
2020,2991.5,2996.8,2983.0,2654.6,2738.2,2806.9,2788.0,2818.4,2835.8,2865.0,2880.5,2889.7
2021,2897.7,2908.6,2927.8,2930.0,2944.2,2966.6,2983.1,2989.5,2999.3,3021.7,3028.8,3046.6
2022,3050.5,3072.8,3080.9,3099.4,3106.8,3110.6,3121.5,3127.4,3134.3,3145.2,3154.2,3151.7
2023,3162.2,3172.0,3179.8,3187.5,3188.1,3198.4,3187.7,3193.2,3205.5,3208.7,3221.1,3228.7
2024,3235.9,3241.4,3250.8,3258.6,3260.7,3258.8(P),,,,,,
