Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,51.9,52.2,52.3,52.3,52.4,52.4,52.4,52.4,52.3,52.5,52.6,52.7
2015,52.9,52.9,53.0,53.2,53.6,53.9,54.2,54.7,55.0,55.3,55.6,55.9
2016,56.0,56.2,56.4,56.5,56.5,56.8,57.1,57.3,57.8,57.9,58.2,58.4
2017,58.7,59.1,59.6,59.6,59.5,59.6,59.8,59.8,59.7,59.7,59.7,59.9
2018,60.1,60.0,60.1,60.2,60.7,61.0,61.2,61.5,61.7,62.0,62.0,62.1
2019,62.3,62.4,62.6,62.8,62.9,63.2,63.4,63.5,63.6,63.7,63.8,64.1
2020,64.2,64.2,64.3,63.2,63.6,63.8,64.0,64.2,64.3,64.6,64.6,65.0
2021,65.2,65.5,65.8,66.1,66.5,66.8,67.0,67.3,67.4,68.2,68.6,69.1
2022,69.2,69.8,70.1,70.2,70.2,70.3,70.6,70.7,70.8,70.6,70.5,70.4
2023,70.4,70.3,70.2,70.1,70.2,70.2,70.2,69.9,70.0,69.8,70.3,70.9
2024,70.8,71.2,71.2,71.0,70.9,71.3(P),,,,,,
