Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,43.3,43.4,43.6,43.9,43.8,44.0,43.9,44.2,43.9,43.7,43.7,43.6
2015,43.3,43.5,43.4,43.6,44.0,44.3,44.7,45.1,45.2,45.7,46.0,46.5
2016,46.8,47.0,47.3,47.3,47.3,47.5,47.6,47.7,47.9,47.8,47.9,48.0
2017,48.3,48.7,48.9,49.4,49.8,50.2,50.7,51.1,51.5,51.9,52.4,53.0
2018,53.0,53.2,53.4,54.0,54.8,55.2,55.9,56.5,57.3,57.6,58.4,58.8
2019,59.3,59.5,59.9,60.0,60.8,61.2,61.9,62.6,63.2,64.0,64.7,65.3
2020,65.9,66.3,66.3,62.2,64.0,64.6,65.0,65.3,65.5,65.8,65.9,65.9
2021,66.1,66.3,67.3,67.3,67.0,67.1,67.2,67.4,67.2,67.6,67.8,68.0
2022,67.4,67.7,68.1,68.5,68.2,68.0,68.0,67.9,67.8,67.6,67.5,67.3
2023,67.3,67.2,67.2,67.2,67.3,67.5,67.5,67.5,67.5,67.4,67.5,67.8
2024,67.0,67.5,67.3,67.9,68.1,68.8(P),,,,,,
