Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,171.2,171.3,171.6,171.8,171.7,171.8,172.2,172.1,172.2,172.3,172.3,172.8
2015,173.2,173.3,173.3,173.6,174.1,174.8,175.5,176.0,176.3,176.6,177.0,177.3
2016,178.0,178.5,178.5,178.9,179.6,180.0,182.1,182.4,184.1,185.0,185.3,185.6
2017,185.8,186.4,186.8,187.5,187.7,188.2,188.2,188.3,189.2,189.8,190.2,190.3
2018,189.7,190.2,190.8,191.0,191.5,191.8,191.8,191.8,192.2,192.5,192.4,193.0
2019,193.5,193.6,193.3,193.0,192.6,192.8,193.4,193.0,193.6,192.6,193.6,193.9
2020,194.1,195.0,194.6,177.2,182.4,185.3,187.6,190.4,190.4,191.6,192.6,190.3
2021,194.0,194.2,196.6,195.4,195.2,195.8,195.2,195.3,192.3,194.8,195.0,192.7
2022,195.4,195.7,196.3,197.5,198.5,197.9,200.2,202.2,202.2,203.1,203.3,203.7
2023,204.3,205.1,205.6,206.0,206.4,207.1,207.6,208.9,209.1,209.1,209.3,211.1
2024,211.7,212.6,212.8,214.0,213.6,216.7(P),,,,,,
