Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1180.5,1182.1,1183.6,1185.8,1188.0,1188.5,1188.9,1190.8,1194.4,1195.5,1198.8,1203.1
2015,1202.4,1205.1,1199.3,1203.6,1210.0,1211.8,1216.0,1218.8,1221.3,1222.3,1224.9,1227.7
2016,1225.1,1227.9,1228.9,1229.6,1230.8,1232.4,1235.6,1236.0,1238.7,1238.2,1238.5,1239.3
2017,1240.2,1243.5,1245.1,1247.2,1246.7,1249.3,1250.1,1251.3,1254.0,1254.7,1256.4,1256.8
2018,1257.9,1260.8,1262.1,1262.8,1265.0,1264.9,1269.3,1271.2,1273.6,1272.8,1273.2,1275.5
2019,1279.2,1280.2,1279.6,1280.4,1279.6,1278.6,1281.1,1282.2,1282.5,1285.2,1288.2,1290.0
2020,1293.8,1294.6,1290.7,1168.7,1197.3,1224.1,1233.4,1246.7,1248.0,1256.7,1261.3,1256.5
2021,1265.9,1261.8,1274.2,1275.4,1275.9,1279.4,1283.8,1286.6,1283.3,1297.6,1300.5,1303.4
2022,1305.2,1314.5,1315.0,1320.4,1323.7,1324.8,1332.7,1337.4,1339.0,1339.3,1341.5,1341.4
2023,1345.4,1346.3,1348.7,1348.5,1350.5,1350.6,1349.3,1352.3,1354.0,1354.4,1352.9,1355.2
2024,1359.3,1360.7,1367.0,1370.0,1368.7,1377.4(P),,,,,,
