Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,661.4,664.3,666.4,667.8,671.7,672.2,671.4,678.4,682.3,683.4,688.1,687.5
2015,706.5,708.2,712.8,718.2,723.7,727.9,734.7,740.8,741.1,753.2,757.9,762.7
2016,764.1,770.2,758.5,773.5,772.8,771.5,779.1,780.3,782.5,785.3,786.2,787.9
2017,774.6,784.4,794.7,801.4,808.1,813.1,815.3,818.3,823.8,826.5,831.4,838.8
2018,844.0,860.3,844.1,852.7,855.7,858.9,861.0,865.8,869.0,873.3,873.6,876.0
2019,877.9,870.1,876.5,879.6,883.9,888.6,890.4,893.6,896.9,893.6,901.3,896.2
2020,900.3,908.7,891.5,742.3,828.0,851.7,839.6,849.3,853.2,863.7,867.3,875.6
2021,872.1,877.8,881.6,885.2,883.1,878.7,879.0,880.7,878.5,888.6,894.4,889.7
2022,906.3,911.6,917.6,912.8,914.2,914.8,916.1,915.1,920.3,912.5,903.4,905.4
2023,891.3,913.6,895.9,905.4,909.4,913.7,913.1,916.4,920.3,925.9,931.6,933.7
2024,934.7,925.2,926.5,923.6,926.1,925.6(P),,,,,,
