Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2389.0,2392.6,2395.1,2405.0,2408.1,2410.1,2414.2,2420.2,2425.1,2427.5,2433.6,2435.0
2015,2438.8,2444.3,2443.4,2450.2,2450.2,2457.4,2466.1,2479.1,2475.3,2478.5,2480.7,2483.5
2016,2486.1,2492.8,2500.1,2504.7,2510.3,2508.2,2518.8,2527.9,2528.4,2532.9,2537.1,2540.8
2017,2543.1,2546.4,2548.4,2548.7,2554.5,2556.9,2544.0,2543.3,2559.0,2564.1,2567.4,2572.2
2018,2574.6,2578.0,2579.8,2583.5,2582.7,2589.1,2560.4,2569.3,2580.1,2586.6,2591.8,2599.3
2019,2596.0,2600.1,2604.1,2604.6,2604.2,2600.0,2593.9,2592.4,2581.5,2591.4,2599.1,2597.3
2020,2622.0,2624.0,2622.3,2529.2,2438.0,2420.3,2427.1,2474.9,2463.8,2437.2,2426.3,2426.2
2021,2430.7,2427.7,2430.7,2444.6,2452.4,2456.6,2478.4,2497.4,2503.6,2500.7,2504.2,2509.1
2022,2514.5,2515.8,2523.6,2526.2,2523.9,2528.2,2529.8,2530.8,2533.7,2536.8,2566.9,2571.8
2023,2577.5,2581.4,2587.0,2592.0,2599.8,2604.6,2596.0,2605.6,2610.0,2620.8,2624.7,2628.2
2024,2642.8,2645.5,2650.7,2653.6,2659.6,2664.8(P),,,,,,
