Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1724.2,1730.9,1737.9,1744.7,1750.2,1757.2,1759.0,1768.2,1771.5,1774.9,1781.0,1785.8
2015,1792.5,1800.0,1805.4,1808.9,1818.4,1822.2,1831.9,1839.2,1846.2,1854.0,1858.4,1866.5
2016,1873.8,1878.7,1876.7,1890.5,1891.7,1892.6,1906.4,1911.4,1917.0,1923.8,1927.6,1929.6
2017,1927.2,1931.1,1940.6,1944.7,1949.4,1957.1,1956.5,1959.5,1958.5,1965.9,1968.4,1970.8
2018,1971.9,1978.0,1978.7,1983.3,1985.4,1987.8,1994.1,1996.2,2001.0,2002.8,2006.5,2016.4
2019,2016.6,2021.0,2025.2,2027.8,2030.0,2033.0,2033.9,2035.3,2039.4,2046.2,2049.4,2051.4
2020,2057.3,2059.3,1982.9,1068.0,1110.3,1303.4,1301.9,1294.7,1355.1,1431.8,1460.9,1353.7
2021,1266.9,1393.6,1448.5,1549.4,1599.8,1653.7,1733.0,1761.2,1778.8,1823.2,1834.8,1852.1
2022,1842.9,1870.2,1885.2,1906.8,1918.7,1932.2,1948.3,1960.6,1968.1,1975.1,1982.3,1983.2
2023,1983.4,1991.6,1997.8,1998.5,2007.9,2011.6,2012.0,2014.9,2018.9,2020.5,2027.1,2031.3
2024,2031.2,2030.6,2030.5,2037.8,2042.2,2043.7(P),,,,,,
