Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1273.0,1276.2,1276.7,1277.5,1277.6,1279.6,1280.3,1284.4,1287.5,1290.0,1290.6,1293.7
2015,1295.9,1297.0,1297.8,1300.1,1303.0,1305.4,1310.3,1311.4,1312.4,1310.6,1308.6,1309.6
2016,1311.8,1312.0,1309.4,1312.6,1313.1,1311.8,1315.6,1312.4,1311.1,1308.6,1312.0,1312.4
2017,1314.8,1311.8,1309.4,1309.2,1311.9,1314.6,1313.6,1315.7,1315.5,1317.3,1319.1,1321.3
2018,1320.8,1320.9,1323.1,1322.9,1324.0,1325.9,1328.3,1327.7,1330.1,1330.4,1330.5,1329.7
2019,1329.8,1330.4,1329.7,1330.1,1329.7,1330.0,1326.0,1329.5,1329.7,1329.8,1330.4,1331.0
2020,1332.1,1330.7,1326.1,1208.4,1230.4,1253.9,1244.6,1249.7,1254.8,1258.8,1260.8,1262.2
2021,1259.3,1264.8,1271.0,1272.8,1275.7,1277.1,1281.5,1285.1,1286.7,1301.0,1307.6,1312.8
2022,1317.2,1323.2,1328.0,1335.3,1337.0,1341.7,1346.2,1347.8,1347.5,1346.7,1346.2,1344.4
2023,1345.3,1342.1,1339.4,1336.6,1334.6,1334.4,1325.4,1324.2,1327.1,1332.0,1334.3,1336.7
2024,1331.0,1326.7,1319.1,1314.4,1311.4,1308.5(P),,,,,,
