Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,28.8,29.0,29.1,29.2,29.4,29.4,29.5,29.7,29.8,29.8,29.9,29.7
2015,28.8,28.2,28.0,27.6,27.0,26.7,26.4,26.0,25.7,25.2,24.8,24.6
2016,24.5,23.9,23.3,22.7,22.7,22.4,22.1,21.7,21.6,21.6,21.8,21.8
2017,21.8,21.5,21.6,22.0,22.1,22.3,22.2,22.3,22.3,22.4,22.4,22.5
2018,22.6,22.7,22.6,22.5,22.6,22.5,22.5,22.7,22.9,22.8,22.8,22.8
2019,22.8,22.8,22.9,22.8,22.9,23.0,22.9,22.8,22.7,22.7,22.7,22.4
2020,22.4,22.6,22.6,20.4,19.2,19.0,19.4,19.3,19.1,19.4,19.3,19.3
2021,19.2,18.9,19.2,19.3,19.2,19.1,18.9,19.0,18.9,19.3,19.3,19.4
2022,19.4,19.6,19.6,19.8,19.6,19.5,19.7,19.7,19.6,19.6,19.6,19.4
2023,19.4,19.6,19.3,19.5,19.5,19.7,19.5,19.5,19.6,19.8,19.8,19.9
2024,20.0,20.1,19.8,19.9,19.9,19.8(P),,,,,,
