Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2391.4,2395.7,2406.1,2410.8,2423.7,2425.9,2420.9,2432.6,2440.0,2451.8,2462.2,2471.3
2015,2458.9,2457.3,2470.0,2465.9,2471.9,2479.0,2496.0,2502.3,2503.7,2521.6,2531.3,2543.1
2016,2530.8,2532.1,2516.2,2528.7,2528.0,2527.5,2539.0,2537.0,2549.9,2538.6,2536.1,2540.6
2017,2545.6,2552.7,2567.9,2560.8,2578.1,2588.2,2597.7,2599.4,2604.5,2602.2,2608.3,2618.1
2018,2632.7,2640.1,2648.4,2654.7,2661.7,2666.7,2675.4,2684.3,2691.9,2699.7,2704.0,2715.1
2019,2705.3,2706.1,2710.1,2708.4,2712.7,2723.6,2726.4,2737.0,2734.1,2742.8,2752.7,2756.4
2020,2770.9,2773.8,2735.1,2467.9,2497.2,2520.0,2536.7,2545.7,2555.1,2600.4,2611.6,2627.2
2021,2645.0,2660.0,2673.1,2680.6,2691.9,2675.3,2709.0,2708.5,2712.1,2783.5,2798.1,2809.3
2022,2821.2,2841.6,2847.2,2861.8,2860.3,2856.6,2865.4,2865.2,2867.9,2863.9,2847.6,2838.8
2023,2823.6,2808.6,2798.1,2786.8,2785.7,2776.4,2756.5,2753.0,2752.8,2758.1,2755.1,2763.1
2024,2773.3,2775.9,2780.3,2773.0,2782.7,2784.1(P),,,,,,
