Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,15382.4,15411.1,15449.1,15487.0,15524.3,15555.0,15562.4,15627.8,15668.4,15701.0,15745.7,15782.0
2015,15814.5,15843.6,15887.6,15914.3,15964.3,16004.4,16093.5,16141.9,16162.0,16225.2,16251.6,16286.1
2016,16309.8,16349.6,16326.0,16428.8,16451.7,16436.9,16519.6,16531.4,16564.6,16587.0,16611.2,16629.7
2017,16635.7,16673.2,16714.5,16742.6,16798.5,16841.0,16842.6,16862.3,16909.3,16933.1,16959.9,17009.5
2018,17042.8,17082.8,17090.4,17102.5,17125.0,17169.5,17161.8,17199.7,17231.4,17261.3,17275.8,17321.2
2019,17324.6,17334.1,17356.5,17359.1,17384.9,17419.2,17430.6,17466.1,17474.1,17497.8,17558.3,17571.2
2020,17658.2,17677.0,17491.9,14933.5,15109.3,15611.8,15668.4,15750.5,15905.1,16122.9,16185.8,16104.7
2021,16019.0,16225.0,16350.9,16508.9,16618.3,16675.2,16864.6,16954.9,16959.8,17212.4,17275.9,17340.8
2022,17382.0,17508.7,17568.3,17627.6,17645.2,17675.0,17731.7,17761.8,17783.9,17778.1,17788.4,17794.0
2023,17781.6,17791.4,17778.5,17784.8,17826.2,17832.4,17791.0,17803.9,17832.4,17878.1,17907.4,17948.9
2024,17974.5,17967.9,17986.1,17990.2,18033.5,18056.0(P),,,,,,
