Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2796.4,2800.7,2806.9,2812.4,2817.0,2825.2,2824.6,2833.5,2839.0,2843.7,2854.0,2867.5
2015,2865.7,2868.7,2880.2,2879.9,2889.0,2892.9,2907.8,2914.7,2918.3,2924.7,2923.7,2924.8
2016,2925.8,2934.8,2939.3,2952.0,2952.0,2947.5,2962.8,2966.7,2970.1,2975.3,2978.1,2982.4
2017,2990.3,2984.0,2989.9,2998.8,3000.7,3007.0,3005.2,3010.8,3016.5,3017.3,3021.4,3029.8
2018,3028.8,3030.1,3033.5,3030.0,3033.6,3038.1,3038.9,3037.8,3038.8,3036.1,3036.1,3040.3
2019,3039.6,3031.3,3032.0,3034.9,3037.7,3039.4,3042.6,3046.9,3041.5,3046.4,3056.7,3065.6
2020,3058.6,3050.1,3034.4,2617.9,2651.3,2810.1,2835.1,2858.6,2900.1,2947.0,2958.8,2969.3
2021,2976.4,2991.4,3001.4,2987.2,2996.8,3002.1,3016.9,3024.4,3027.3,3076.9,3076.3,3094.4
2022,3093.2,3136.9,3138.4,3139.7,3132.6,3128.8,3138.1,3139.7,3135.1,3128.7,3116.0,3116.1
2023,3121.4,3113.5,3110.8,3114.6,3114.5,3115.7,3104.6,3101.4,3102.3,3107.8,3103.0,3106.5
2024,3101.2,3096.8,3098.1,3101.6,3108.7,3118.5(P),,,,,,
