Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,137.1,137.6,138.9,140.4,141.4,142.3,143.6,144.1,144.8,145.1,145.3,147.1
2015,146.7,147.9,147.3,147.3,148.1,147.9,148.3,148.8,149.6,150.4,150.9,151.5
2016,151.9,152.5,153.0,153.0,153.8,154.4,155.5,156.1,157.1,157.8,158.8,158.7
2017,158.9,160.2,161.8,162.0,162.0,162.8,163.4,164.8,165.4,166.7,167.5,168.6
2018,169.8,171.1,171.9,171.9,172.4,173.4,173.6,174.3,174.7,174.3,175.2,175.7
2019,176.8,177.7,176.8,177.7,178.3,179.9,180.4,180.6,180.7,180.3,180.5,180.5
2020,180.1,179.3,179.7,169.1,174.3,174.0,172.6,173.0,172.6,173.5,174.1,174.9
2021,175.6,176.3,176.6,176.1,176.4,176.1,177.4,177.4,178.3,179.4,179.7,180.8
2022,180.7,181.9,181.0,183.1,183.2,183.0,183.2,183.7,184.9,184.5,184.8,184.3
2023,184.2,183.9,184.5,184.7,184.8,185.2,185.1,185.7,184.6,181.5,181.3,182.7
2024,181.9,183.6,182.1,181.2,182.1,181.0(P),,,,,,
