Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,295.3,295.8,297.6,298.9,300.0,299.6,300.6,301.7,303.3,303.7,303.5,305.8
2015,306.4,308.6,309.0,310.4,312.3,312.6,313.4,314.4,316.5,316.5,318.0,318.3
2016,319.1,320.6,320.8,321.1,321.7,322.2,324.2,326.6,326.0,326.2,326.6,327.4
2017,329.1,330.0,330.8,330.8,331.7,332.8,333.6,333.6,334.4,335.3,335.7,337.2
2018,339.2,338.1,339.3,339.5,338.5,339.7,338.6,338.6,338.2,340.3,342.2,342.7
2019,342.9,344.2,343.3,344.0,344.1,344.6,345.7,346.0,346.2,346.6,346.7,347.4
2020,348.1,349.0,340.1,173.7,206.1,237.8,255.6,264.9,276.5,284.2,279.5,248.3
2021,266.8,279.0,284.1,294.2,302.7,309.4,314.0,317.5,320.8,324.8,326.6,327.8
2022,328.9,331.5,333.9,337.5,337.8,336.9,339.4,340.5,341.3,342.5,344.6,345.9
2023,346.9,348.2,349.2,348.8,350.9,352.8,352.0,353.5,353.2,356.7,357.0,357.1
2024,356.1,356.0,356.7,355.4,356.4,356.2(P),,,,,,
