Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,31.8,32.1,32.6,33.2,33.6,33.8,34.4,34.7,35.1,35.7,35.9,36.0
2015,35.6,34.5,33.3,32.0,31.4,30.8,30.1,29.5,28.9,28.0,27.3,26.7
2016,25.9,25.4,24.7,24.1,23.6,23.1,22.8,22.8,22.9,22.7,22.9,23.1
2017,23.7,24.2,24.6,25.2,25.7,26.1,26.2,26.3,26.4,26.8,27.0,27.2
2018,27.5,27.7,28.2,28.3,28.5,28.6,28.6,28.7,28.8,28.8,29.1,29.3
2019,29.3,29.3,29.5,29.5,29.4,29.5,29.2,29.0,28.5,28.1,27.2,26.6
2020,26.7,26.4,26.4,24.0,21.4,20.2,19.5,19.2,19.3,19.5,19.5,19.4
2021,19.4,19.5,19.7,19.9,20.0,19.8,19.8,19.7,19.9,19.9,20.0,20.2
2022,20.3,20.2,20.3,20.8,20.8,20.7,20.9,20.9,20.9,21.0,21.2,21.2
2023,21.3,21.5,21.5,21.4,21.5,21.8,22.1,21.9,21.8,21.7,21.9,22.1
2024,22.1,22.3,22.3,22.3,22.6,22.9(P),,,,,,
