Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2423.1,2428.0,2435.7,2445.8,2453.2,2460.8,2465.0,2474.0,2482.5,2490.5,2495.9,2506.9
2015,2514.0,2520.6,2522.7,2524.7,2533.7,2538.8,2542.7,2545.8,2553.5,2559.0,2567.0,2571.5
2016,2576.1,2581.2,2584.2,2590.1,2585.6,2594.6,2607.4,2611.7,2620.2,2617.8,2623.2,2626.0
2017,2626.9,2636.2,2645.9,2647.7,2651.0,2656.5,2661.2,2667.3,2675.3,2679.7,2679.9,2692.0
2018,2698.1,2704.7,2713.4,2717.5,2721.8,2727.5,2731.1,2736.3,2734.3,2741.2,2748.8,2752.5
2019,2760.3,2768.1,2767.3,2774.6,2785.5,2787.9,2799.0,2805.4,2803.9,2804.6,2810.3,2811.5
2020,2821.3,2820.6,2807.3,2442.6,2518.6,2565.5,2596.5,2623.6,2648.1,2669.8,2669.6,2647.9
2021,2671.0,2695.3,2709.8,2717.3,2732.0,2746.0,2764.7,2768.1,2779.1,2798.9,2809.5,2820.3
2022,2825.5,2840.3,2847.3,2867.3,2869.9,2861.4,2871.1,2879.9,2885.7,2890.1,2897.4,2903.0
2023,2911.5,2915.5,2922.1,2929.3,2935.7,2948.2,2950.8,2955.5,2962.6,2960.3,2958.1,2961.4
2024,2967.3,2978.0,2980.8,2981.3,2987.7,2989.1(P),,,,,,
