Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,426.5,427.5,428.7,430.1,430.7,432.8,433.0,433.9,435.0,435.8,437.6,439.1
2015,440.5,441.6,442.5,443.2,444.0,445.0,446.2,447.2,447.9,449.2,449.9,450.5
2016,449.6,450.9,451.5,452.7,453.6,453.5,455.3,455.8,456.0,456.6,456.2,456.6
2017,456.8,458.1,458.5,459.4,459.8,461.1,461.6,462.5,463.7,464.1,464.3,464.8
2018,465.7,466.0,467.5,468.2,469.3,470.5,471.5,472.4,473.1,473.1,474.6,473.1
2019,475.5,475.9,475.5,475.2,476.2,477.5,478.5,479.1,479.5,479.3,481.5,481.5
2020,482.0,481.0,481.3,430.5,445.2,458.7,466.6,470.6,474.8,478.1,480.1,482.8
2021,483.0,484.7,485.2,481.7,482.4,484.0,484.6,486.7,487.6,491.2,492.9,494.3
2022,495.4,501.9,502.0,504.3,502.8,500.3,502.6,503.4,502.9,503.6,503.7,504.9
2023,505.3,505.8,506.3,508.0,508.8,509.7,508.0,507.7,509.3,507.3,502.9,503.3
2024,501.7,501.8,502.4,503.7,503.7,503.7(P),,,,,,
