Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,53.4,53.9,53.7,54.9,55.4,55.7,56.0,56.3,56.4,56.6,56.6,56.9
2015,56.8,57.0,56.7,57.5,58.1,58.4,57.9,57.8,58.0,58.5,58.7,59.4
2016,59.6,59.3,60.0,59.7,59.2,59.0,59.1,59.2,58.8,58.5,58.6,58.5
2017,58.5,58.3,58.1,58.2,58.4,58.6,58.5,58.4,58.5,58.5,58.1,57.4
2018,57.8,58.2,57.9,57.8,58.3,58.6,58.7,59.0,59.4,59.9,59.9,60.0
2019,60.0,59.9,59.6,60.3,60.0,59.7,59.9,59.8,59.8,59.7,59.9,58.3
2020,58.8,59.2,59.3,49.3,53.8,55.9,56.6,57.4,57.7,58.1,58.5,58.6
2021,58.6,58.5,58.9,58.9,58.9,59.0,59.4,59.6,59.9,60.3,60.3,60.7
2022,60.7,61.1,61.5,61.7,61.1,60.7,60.7,60.9,61.0,61.2,61.2,61.3
2023,63.1,62.7,62.5,62.3,62.1,62.0,62.0,62.0,62.0,62.7,62.3,61.5
2024,61.7,62.7,63.4,63.4,63.1,62.9(P),,,,,,
