Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,245.1,243.7,244.3,244.8,245.1,245.6,245.1,245.2,244.8,244.4,244.5,244.2
2015,245.2,243.6,243.5,244.3,243.8,243.9,243.6,243.2,243.8,243.7,243.7,242.5
2016,241.3,242.2,242.4,242.2,244.3,240.1,239.8,239.3,239.7,240.0,240.7,239.9
2017,239.6,239.9,239.6,238.8,239.2,238.8,238.5,238.5,237.6,237.4,236.8,237.0
2018,235.6,236.3,237.1,236.1,236.4,237.8,237.2,236.8,236.3,235.1,235.7,235.9
2019,236.1,236.7,236.9,236.5,236.5,235.3,236.0,235.2,236.6,236.3,236.5,234.5
2020,237.2,237.2,235.4,213.5,210.8,217.5,218.7,223.4,226.8,225.1,225.0,223.2
2021,222.2,221.7,223.0,222.8,222.9,224.6,226.1,223.4,226.3,225.5,224.8,225.4
2022,226.3,226.5,226.8,226.9,227.0,226.2,227.2,228.5,227.7,227.7,228.8,229.4
2023,230.5,230.4,231.0,230.4,232.5,234.5,233.1,234.0,232.9,232.8,233.1,233.3
2024,233.3,233.0,233.5,234.4,235.5,237.1(P),,,,,,
