Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,158.5,158.3,157.9,157.7,157.0,156.6,156.6,156.7,156.7,157.0,156.9,156.7
2015,156.7,156.6,156.9,157.1,157.2,157.3,157.1,156.9,157.6,156.6,156.6,156.5
2016,156.4,156.4,156.3,156.1,156.1,156.1,156.4,156.6,156.7,156.8,156.7,157.4
2017,157.7,157.7,158.1,158.2,158.5,158.9,159.0,159.4,158.9,159.2,159.4,159.8
2018,159.9,160.0,159.8,160.2,160.5,160.7,160.9,160.9,160.7,161.3,161.5,162.1
2019,162.2,162.0,162.1,162.2,162.1,162.0,162.2,161.7,161.7,161.8,161.7,161.0
2020,160.8,160.8,160.2,149.0,151.0,151.8,151.9,152.0,152.5,152.5,152.1,151.9
2021,151.7,152.0,152.8,152.5,152.7,151.8,153.2,152.8,153.4,154.0,154.5,154.9
2022,154.4,155.3,155.9,156.9,156.9,156.7,157.5,157.9,158.2,158.4,158.5,158.6
2023,158.8,158.8,158.7,158.4,158.4,158.7,158.4,158.4,158.4,157.7,158.1,157.9
2024,158.4,158.6,158.8,159.2,158.6,158.9(P),,,,,,
