Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,62.3,62.3,62.5,62.9,62.7,62.8,63.0,63.1,63.2,63.5,63.5,63.6
2015,63.6,63.6,63.8,63.6,63.8,63.5,63.6,64.3,64.2,64.1,64.3,64.2
2016,64.2,64.5,64.7,64.6,64.5,64.7,65.0,64.6,64.5,64.8,64.7,65.1
2017,65.1,65.0,64.9,64.8,65.0,65.1,65.1,65.2,65.3,64.9,65.2,65.3
2018,65.4,65.2,65.2,65.8,65.6,65.8,65.8,65.7,65.7,65.5,65.8,65.8
2019,65.5,65.5,65.6,65.5,65.5,65.5,65.2,65.1,65.0,65.5,65.1,65.6
2020,65.9,65.9,64.4,42.0,45.4,52.0,53.7,54.9,56.1,56.6,56.5,56.5
2021,56.4,56.6,56.8,57.4,57.5,58.1,58.6,58.9,58.9,59.8,60.0,60.4
2022,60.2,60.7,60.8,61.1,61.1,61.2,61.5,61.7,61.5,61.3,61.5,61.6
2023,62.4,62.6,62.3,62.2,62.4,62.2,62.1,62.4,62.5,63.7,63.6,65.0
2024,63.8,65.5,65.4,64.5,63.7,62.7(P),,,,,,
