Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,328.4,327.3,328.5,330.3,330.3,330.7,332.7,332.9,333.3,333.2,333.9,333.9
2015,334.2,333.3,332.9,333.3,333.6,335.1,334.9,335.1,334.2,335.3,335.6,335.3
2016,335.1,336.1,337.6,336.1,335.5,337.0,340.4,339.9,340.3,341.0,341.3,341.5
2017,342.1,341.9,342.5,342.3,343.7,343.1,342.4,342.5,342.8,342.3,342.3,342.5
2018,343.3,344.0,343.9,344.1,344.7,344.9,344.7,345.3,345.2,345.2,344.6,346.7
2019,346.1,346.9,347.6,347.6,347.8,347.8,347.5,348.0,348.6,349.3,350.6,349.3
2020,351.2,352.3,349.1,301.3,308.1,315.4,319.1,325.0,325.7,329.4,328.8,329.5
2021,329.6,330.2,333.4,332.6,333.3,333.5,334.9,335.2,333.1,337.2,336.9,338.3
2022,336.8,339.1,340.8,340.5,341.0,341.7,343.4,343.0,344.3,344.0,344.9,345.2
2023,353.5,350.0,350.8,351.9,353.6,358.3,355.2,356.0,357.2,359.5,361.4,356.5
2024,360.5,361.2,362.0,363.2,365.3,367.1(P),,,,,,
