Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1665.7,1662.2,1665.6,1671.3,1672.2,1672.3,1675.1,1675.8,1676.8,1677.3,1680.0,1680.9
2015,1683.9,1681.3,1681.6,1683.8,1688.3,1690.7,1685.9,1685.9,1687.9,1690.8,1691.8,1689.5
2016,1687.2,1690.7,1696.0,1691.5,1692.8,1688.8,1694.0,1693.5,1693.1,1693.8,1693.3,1695.1
2017,1697.5,1695.7,1696.3,1694.5,1697.0,1698.6,1696.8,1697.0,1696.6,1694.8,1695.0,1694.5
2018,1696.2,1697.9,1696.5,1693.8,1698.3,1702.4,1700.4,1700.8,1700.5,1700.7,1699.4,1702.4
2019,1696.5,1696.7,1696.4,1697.8,1696.5,1694.7,1695.9,1693.6,1695.6,1696.8,1698.3,1693.6
2020,1700.7,1698.6,1684.1,1407.5,1439.5,1495.8,1530.4,1555.9,1576.5,1586.7,1586.4,1582.4
2021,1585.2,1589.2,1598.1,1599.2,1605.8,1610.8,1627.5,1625.3,1626.2,1640.2,1643.3,1648.9
2022,1647.5,1659.1,1665.5,1668.5,1667.6,1666.5,1672.8,1674.2,1674.7,1673.1,1674.9,1677.4
2023,1692.0,1687.6,1690.2,1684.2,1693.0,1701.7,1696.7,1697.8,1698.5,1700.7,1699.7,1695.8
2024,1701.6,1704.2,1704.7,1706.3,1710.4,1713.7(P),,,,,,
