Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,44.4,44.5,44.3,44.7,44.9,45.0,44.9,45.1,45.4,45.5,45.7,46.1
2015,46.0,46.3,46.3,46.5,46.4,46.4,46.6,46.7,47.4,47.1,47.2,46.8
2016,47.0,47.0,47.1,47.1,47.0,47.1,47.1,47.1,47.0,47.1,47.3,47.5
2017,47.6,47.6,47.7,47.9,47.9,48.1,48.1,48.3,48.3,48.1,48.0,48.1
2018,47.8,48.0,48.0,47.8,48.0,47.8,47.8,47.4,47.5,47.8,47.9,47.9
2019,47.9,47.9,48.1,48.2,48.1,48.0,48.0,48.0,47.9,47.9,47.8,47.7
2020,47.8,47.9,47.7,47.0,47.2,47.1,47.3,47.4,47.7,47.6,47.6,47.6
2021,47.4,47.4,47.6,47.5,47.4,47.5,47.5,47.4,47.3,47.6,47.7,47.8
2022,48.0,48.0,47.9,48.3,48.3,48.4,48.8,49.3,49.6,49.8,50.0,50.0
2023,50.2,50.2,50.5,50.5,50.5,50.6,50.7,50.7,50.5,50.6,50.5,50.4
2024,50.5,50.7,50.7,50.8,51.3,50.7(P),,,,,,
