Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,65.4,65.6,64.8,64.6,64.6,64.5,64.4,64.4,64.7,64.6,64.7,64.8
2015,64.9,64.9,66.2,64.9,65.4,66.0,65.2,65.1,65.1,65.1,65.0,65.4
2016,65.4,64.9,65.2,65.7,65.4,65.2,65.8,65.3,65.4,65.9,66.2,65.8
2017,66.6,65.7,66.4,66.2,66.3,66.4,65.7,65.4,66.5,65.6,65.5,65.7
2018,65.7,66.1,66.0,66.1,66.5,66.2,66.1,66.1,66.6,66.2,66.2,66.6
2019,66.3,66.4,66.6,66.6,66.3,66.8,67.2,67.5,66.9,67.2,67.5,67.2
2020,67.5,67.6,67.6,63.9,63.4,64.1,64.8,66.7,65.8,65.4,65.2,65.3
2021,65.4,65.5,65.6,66.2,65.7,66.5,66.8,67.2,66.2,66.5,66.6,66.5
2022,66.9,67.1,66.8,67.5,67.6,67.4,67.6,67.8,68.0,67.9,68.2,68.6
2023,68.5,68.9,69.0,68.8,69.1,69.2,69.1,69.1,69.7,70.1,70.3,70.9
2024,70.8,71.6,71.6,71.7,71.9,72.1(P),,,,,,
