Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5.1,4.9,4.9,4.9,5.0,4.9,4.9,5.0,4.8,4.9,4.9,4.8
2015,4.8,4.7,4.7,4.7,4.8,4.7,4.7,4.6,4.6,4.7,4.7,4.7
2016,4.6,4.6,4.6,4.6,4.3,4.7,4.7,4.7,4.7,4.6,4.6,4.7
2017,4.6,4.6,4.6,4.5,4.5,4.6,4.5,4.5,4.4,4.3,4.4,4.3
2018,4.2,4.3,4.2,4.1,4.1,4.2,4.0,4.0,3.9,3.9,4.0,3.9
2019,3.9,3.9,3.9,3.8,3.9,3.9,4.0,4.0,3.9,4.0,4.0,3.9
2020,3.9,3.9,3.9,3.5,3.5,3.5,3.6,3.5,3.6,3.6,3.5,3.4
2021,3.3,3.3,3.3,3.4,3.5,3.5,3.8,3.8,3.8,3.9,3.8,3.7
2022,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.7,3.7,3.7
2023,3.7,3.7,3.6,3.6,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6
2024,3.5,3.5,3.5,3.5,3.6,3.6(P),,,,,,
