Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,46.3,46.3,46.4,47.1,47.2,47.2,47.1,47.1,46.8,47.4,47.2,47.7
2015,47.8,47.9,47.9,47.9,49.1,48.7,49.0,49.1,49.2,48.7,49.0,49.3
2016,48.7,49.0,49.1,49.8,49.3,49.0,49.6,49.5,49.9,49.7,50.0,49.8
2017,50.2,50.3,50.4,49.7,49.5,50.1,50.7,50.5,50.6,50.7,51.1,50.6
2018,51.3,51.6,51.4,51.5,52.2,51.7,51.9,52.0,51.6,52.3,51.8,52.2
2019,52.3,52.3,52.9,53.1,53.4,53.4,53.4,53.2,53.0,53.0,53.2,53.2
2020,52.7,52.8,50.7,26.0,26.4,35.5,38.5,39.5,42.2,43.0,43.6,42.8
2021,42.8,43.1,43.6,44.4,44.5,45.1,46.2,46.1,46.3,47.6,48.9,49.5
2022,48.6,49.3,49.8,50.1,49.5,49.9,50.0,50.3,50.0,50.6,50.9,51.1
2023,51.7,51.9,51.9,51.7,51.9,51.8,52.5,52.5,52.7,52.5,52.8,53.2
2024,53.4,53.9,53.7,53.9,53.3,53.2(P),,,,,,
