Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,19.8,19.9,20.1,20.2,20.4,20.8,20.7,20.6,20.6,20.6,20.8,20.8
2015,20.5,20.6,20.1,20.3,20.8,20.7,21.0,21.2,21.5,21.3,20.9,20.9
2016,20.8,20.9,21.4,20.6,20.4,20.6,20.8,21.0,21.1,21.4,21.4,21.5
2017,21.7,21.8,22.1,21.8,21.3,21.6,21.5,21.4,21.7,21.4,21.6,21.6
2018,21.6,21.9,21.8,22.0,22.1,22.3,22.4,22.4,22.6,22.7,22.8,23.1
2019,23.2,22.9,23.1,23.0,23.0,23.0,22.9,23.0,23.0,23.1,23.1,22.8
2020,23.3,23.3,23.2,20.5,21.5,21.9,22.0,22.4,22.5,22.9,23.1,23.1
2021,23.0,22.8,23.2,23.1,23.2,23.3,23.6,23.6,23.6,23.4,23.2,23.3
2022,23.3,23.5,23.5,23.7,23.3,23.6,23.7,23.6,23.7,23.8,23.9,23.9
2023,24.0,24.1,24.0,24.1,24.1,23.7,23.9,23.8,24.0,23.9,23.9,23.5
2024,23.7,23.6,23.9,24.1,23.9,24.0(P),,,,,,
