Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,71.2,71.4,71.7,71.9,72.1,72.2,72.1,72.6,72.8,73.0,73.4,73.5
2015,73.9,74.1,74.1,74.8,75.1,75.6,75.4,75.4,75.6,75.7,75.7,75.9
2016,76.0,76.2,76.3,76.2,76.4,76.5,76.8,76.9,77.0,77.0,76.8,77.1
2017,77.0,77.5,77.4,77.6,77.7,77.5,77.8,77.9,78.3,78.5,78.4,78.5
2018,79.2,78.9,79.3,79.5,79.6,79.8,79.3,79.5,79.7,80.4,80.4,80.5
2019,80.7,80.7,81.1,80.9,80.9,81.2,81.3,81.4,81.7,81.0,81.3,81.4
2020,81.5,81.8,81.5,73.5,74.5,76.2,77.4,78.3,78.5,78.7,78.8,78.6
2021,78.4,77.9,78.3,78.1,78.0,77.7,79.0,78.3,77.8,78.2,78.3,78.2
2022,78.8,79.1,79.0,79.1,79.4,79.6,79.4,79.8,80.1,80.1,80.1,80.8
2023,81.2,81.2,81.8,82.3,82.6,83.0,83.5,83.8,83.9,83.9,84.1,84.8
2024,85.5,85.3,85.7,85.6,85.5,85.3(P),,,,,,
