Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,59.2,58.9,59.2,59.2,59.7,59.7,59.7,59.6,60.1,60.5,62.5,61.2
2015,61.0,60.9,60.7,60.0,60.6,60.7,60.9,60.5,60.7,61.6,63.3,62.1
2016,61.6,61.5,61.3,61.0,61.2,61.9,62.1,61.9,61.6,61.2,61.8,62.2
2017,62.2,62.4,61.9,62.1,61.9,62.3,62.1,62.2,62.4,61.6,61.8,63.1
2018,62.8,63.3,63.5,63.4,63.6,63.6,63.5,63.4,63.7,63.7,63.5,63.4
2019,63.6,63.7,63.9,63.6,63.5,63.6,63.7,64.4,64.1,64.2,64.9,64.9
2020,65.0,64.3,64.3,59.6,60.8,61.0,60.7,61.1,61.3,61.7,61.1,61.5
2021,62.0,62.5,62.8,63.7,62.8,62.7,63.0,63.0,62.5,64.4,64.3,64.6
2022,64.8,65.3,65.3,66.6,65.8,65.5,66.4,66.4,66.5,66.7,66.5,65.9
2023,65.8,65.6,65.3,65.1,65.0,65.0,64.8,64.2,64.3,64.3,63.9,63.4
2024,63.4,63.2,62.7,63.6,64.5,65.4(P),,,,,,
