Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,381.6,384.6,386.4,389.9,393.1,395.8,399.3,401.8,404.7,406.7,409.0,411.6
2015,414.9,417.1,419.8,421.5,426.4,429.5,432.9,436.4,439.1,446.3,450.6,453.9
2016,456.9,460.3,462.6,467.7,471.1,472.9,478.5,480.8,484.1,487.7,490.8,493.4
2017,495.9,497.7,500.4,501.5,504.4,507.1,508.7,511.9,484.8,515.7,517.9,521.1
2018,524.9,531.2,534.4,538.0,538.6,543.1,544.8,547.7,550.7,553.1,554.4,556.2
2019,557.7,557.9,559.5,560.3,562.1,564.0,566.1,568.8,570.3,570.9,574.8,573.3
2020,574.7,576.3,572.8,538.6,558.9,565.4,561.9,563.6,562.9,566.2,565.9,568.9
2021,571.5,573.3,577.6,575.5,575.5,574.4,578.5,576.8,579.1,582.3,585.0,585.6
2022,586.7,592.0,592.2,596.8,598.7,601.8,605.2,606.2,609.5,610.5,612.5,616.3
2023,618.1,619.5,622.2,623.2,625.9,627.6,628.6,631.5,633.8,636.2,642.0,643.0
2024,643.7,641.6,644.9,648.1,654.1,657.5(P),,,,,,
