Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,520.6,521.4,522.6,524.0,525.3,526.1,527.5,528.0,529.2,529.9,531.0,531.9
2015,533.5,534.6,535.6,536.1,537.7,538.7,539.4,541.2,541.5,543.2,545.0,545.3
2016,546.5,547.7,547.8,549.1,550.5,550.3,551.9,552.9,555.9,556.2,556.8,560.1
2017,561.1,561.9,563.7,564.0,565.2,566.7,567.3,567.3,567.1,571.1,569.9,571.0
2018,571.9,573.6,575.5,576.3,577.5,578.1,579.8,580.2,582.2,582.7,584.0,585.1
2019,587.2,588.6,589.4,591.5,592.2,594.4,595.7,597.6,598.6,600.2,602.1,605.7
2020,605.5,606.5,605.0,579.8,582.5,588.9,590.4,593.6,595.1,598.4,601.4,603.5
2021,606.5,609.6,613.8,615.6,619.1,621.4,628.9,631.5,633.2,639.6,643.4,646.4
2022,649.6,653.2,655.4,660.9,663.8,664.0,669.4,671.3,673.7,674.6,674.1,675.6
2023,677.3,678.0,680.3,681.7,682.9,684.6,684.1,683.8,685.7,682.3,683.0,684.7
2024,689.4,683.4,682.6,680.3,682.2,685.8(P),,,,,,
