Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1076.7,1076.1,1077.6,1077.6,1076.4,1077.6,1077.2,1076.2,1076.6,1076.3,1078.6,1080.5
2015,1078.7,1080.8,1081.1,1082.8,1083.8,1081.6,1087.9,1087.7,1085.5,1087.9,1088.3,1087.3
2016,1089.0,1090.1,1091.0,1093.3,1096.5,1099.0,1101.7,1101.1,1106.3,1099.8,1101.1,1102.5
2017,1103.3,1106.0,1107.2,1104.4,1106.8,1103.8,1106.4,1104.1,1103.1,1106.3,1106.7,1109.2
2018,1112.5,1111.8,1113.6,1113.8,1113.9,1115.9,1109.9,1116.8,1116.6,1117.6,1118.9,1120.4
2019,1117.8,1119.3,1121.5,1122.7,1122.3,1126.6,1118.2,1126.3,1127.2,1130.1,1130.8,1133.7
2020,1133.2,1133.6,1131.9,1090.1,1087.0,1098.4,1103.4,1089.9,1105.5,1093.6,1089.7,1087.4
2021,1088.9,1091.1,1092.1,1090.0,1091.5,1093.4,1089.7,1089.1,1093.4,1088.7,1089.4,1088.0
2022,1087.3,1086.2,1086.7,1086.8,1090.1,1090.5,1093.2,1095.5,1098.5,1100.9,1102.0,1104.2
2023,1109.9,1113.0,1115.4,1120.1,1119.2,1129.1,1127.7,1129.4,1130.8,1134.2,1134.5,1137.3
2024,1141.1,1145.0,1147.0,1150.1,1149.5,1153.3(P),,,,,,
