Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,138.6,138.8,138.7,139.2,138.8,139.8,139.3,138.7,138.9,138.9,139.1,138.9
2015,139.1,138.7,139.1,138.7,139.2,139.1,139.6,139.8,140.3,140.7,140.4,141.3
2016,139.9,139.7,139.6,140.5,140.5,140.5,141.3,141.4,141.0,140.7,141.0,141.0
2017,141.7,142.1,142.5,142.0,142.5,142.1,141.6,141.7,139.9,140.9,141.6,142.4
2018,142.3,143.2,143.1,142.4,142.6,142.9,142.7,143.5,143.2,142.8,143.6,144.0
2019,142.7,142.9,143.1,143.9,144.5,143.5,143.4,142.6,142.9,143.1,143.1,142.8
2020,143.1,143.1,142.1,130.2,130.0,130.6,130.3,131.3,132.8,132.7,132.6,132.3
2021,134.1,135.9,136.2,136.4,138.3,139.7,142.2,143.7,145.4,147.2,148.8,149.8
2022,150.7,150.9,153.3,155.0,156.3,156.0,157.4,158.0,158.7,158.7,158.9,159.3
2023,160.9,159.5,159.7,159.6,159.2,159.4,158.9,158.6,158.6,156.2,157.0,158.2
2024,158.9,158.7,159.7,159.6,157.3,157.2(P),,,,,,
