Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1061.9,1064.1,1072.1,1078.1,1082.1,1088.0,1089.9,1091.2,1096.4,1098.9,1103.3,1106.6
2015,1111.5,1116.0,1119.9,1121.1,1125.3,1131.4,1135.0,1139.9,1145.2,1152.5,1157.3,1164.3
2016,1163.0,1166.5,1166.5,1167.8,1170.5,1171.8,1176.6,1178.2,1185.9,1184.5,1188.0,1189.8
2017,1195.4,1193.5,1197.8,1201.6,1204.0,1208.8,1207.9,1208.7,1168.5,1208.7,1210.0,1213.0
2018,1215.6,1219.9,1222.3,1223.3,1225.4,1227.0,1231.3,1236.7,1240.3,1238.9,1240.3,1243.1
2019,1250.8,1258.4,1259.7,1258.4,1256.2,1251.6,1255.2,1258.6,1253.3,1266.5,1272.1,1275.4
2020,1277.9,1282.4,1247.6,708.3,780.0,909.2,938.2,942.5,963.4,1010.2,1032.6,1045.3
2021,1036.1,1045.1,1054.0,1066.9,1091.3,1123.2,1149.4,1155.7,1165.9,1193.2,1201.3,1209.9
2022,1200.3,1209.5,1214.3,1228.9,1232.4,1238.8,1249.5,1257.7,1263.3,1265.4,1270.4,1275.2
2023,1284.8,1288.5,1291.6,1291.1,1293.9,1295.1,1291.1,1293.2,1294.9,1299.6,1305.5,1311.0
2024,1321.8,1323.4,1327.5,1333.1,1326.5,1311.8(P),,,,,,
