Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,330.4,331.3,330.6,332.0,333.1,333.0,334.1,334.9,336.3,337.7,338.1,338.6
2015,339.1,340.0,341.3,341.8,343.5,345.1,345.9,347.6,348.8,350.6,351.4,352.3
2016,352.9,353.6,354.7,355.9,356.6,357.0,359.1,359.7,361.1,360.6,361.7,362.3
2017,363.4,364.4,365.2,365.8,366.2,367.2,366.9,367.7,361.1,366.8,368.1,369.1
2018,369.3,369.9,371.2,372.2,373.2,374.5,375.7,377.0,379.0,379.9,380.6,381.3
2019,383.5,384.6,384.7,385.4,385.9,386.9,387.3,388.2,388.4,390.3,390.7,391.1
2020,391.5,391.5,389.6,362.9,371.0,375.6,373.2,375.0,375.9,377.3,378.9,380.8
2021,381.7,382.8,384.7,385.1,385.6,386.2,390.6,391.4,392.5,396.7,398.8,399.8
2022,400.6,402.8,404.5,406.9,408.3,408.4,411.7,413.0,414.4,415.3,415.6,416.7
2023,418.2,417.3,418.3,419.4,420.7,421.9,422.7,422.4,423.4,425.2,425.7,427.7
2024,428.7,427.6,425.8,428.2,427.1,427.0(P),,,,,,
