Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.7
2015,5.7,5.7,5.7,5.8,5.8,5.9,5.8,5.8,5.8,5.8,5.8,5.8
2016,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5
2017,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.6,5.6,5.7
2018,5.7,5.8,5.8,5.7,5.8,5.8,5.8,5.9,5.8,5.8,5.8,5.8
2019,5.8,5.8,5.8,5.8,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.5
2020,5.5,5.5,5.5,5.4,5.5,5.5,5.4,5.4,5.4,5.5,5.5,5.5
2021,5.4,5.4,5.5,5.4,5.4,5.5,5.4,5.4,5.4,5.4,5.4,5.4
2022,5.4,5.5,5.5,5.5,5.6,5.5,5.6,5.6,5.7,5.6,5.6,5.7
2023,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.9,5.9,6.0
2024,5.9,6.1,6.1,6.0,6.0,6.0(P),,,,,,
