Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1132.4,1135.8,1137.8,1145.2,1147.4,1150.5,1153.5,1158.6,1161.5,1165.1,1167.7,1171.4
2015,1174.1,1177.0,1180.6,1182.5,1187.7,1191.3,1193.4,1195.2,1200.3,1207.5,1211.1,1212.4
2016,1215.9,1217.6,1220.4,1228.4,1230.1,1230.7,1240.6,1240.6,1248.2,1249.0,1250.6,1256.2
2017,1257.7,1260.5,1263.0,1265.2,1268.2,1271.0,1271.2,1273.5,1257.7,1275.4,1276.8,1280.2
2018,1281.9,1285.1,1290.4,1291.3,1291.7,1295.7,1298.0,1304.2,1308.8,1308.0,1310.5,1313.4
2019,1319.3,1322.8,1325.7,1327.7,1332.5,1333.1,1338.5,1343.5,1341.9,1348.9,1353.9,1355.5
2020,1358.0,1362.5,1358.2,1226.2,1264.3,1292.8,1289.0,1291.0,1293.7,1306.1,1310.8,1315.5
2021,1320.0,1322.4,1329.2,1331.3,1331.0,1335.3,1346.3,1347.4,1341.6,1355.1,1358.3,1358.5
2022,1362.2,1367.7,1370.2,1377.6,1383.4,1388.4,1403.7,1413.2,1424.3,1424.8,1430.2,1438.3
2023,1445.5,1450.2,1457.9,1463.4,1469.2,1477.4,1479.7,1483.4,1486.9,1490.2,1502.0,1502.9
2024,1508.8,1507.4,1517.2,1518.4,1520.0,1525.5(P),,,,,,
