Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1144.7,1148.1,1151.5,1159.0,1165.2,1167.1,1171.1,1178.5,1183.9,1185.8,1192.2,1197.2
2015,1199.9,1204.9,1208.6,1213.3,1223.2,1225.4,1231.5,1234.3,1238.4,1244.8,1252.2,1257.2
2016,1264.6,1270.0,1277.6,1279.9,1282.6,1282.9,1292.5,1297.3,1302.5,1304.5,1306.3,1305.5
2017,1316.5,1315.0,1318.4,1321.9,1325.1,1330.9,1331.7,1333.0,1306.3,1341.6,1343.2,1346.1
2018,1346.2,1346.3,1352.5,1356.3,1359.6,1364.4,1366.9,1371.4,1374.0,1376.8,1379.8,1377.5
2019,1376.9,1382.4,1383.7,1385.7,1386.3,1391.0,1396.5,1400.2,1399.8,1397.8,1399.0,1401.3
2020,1404.8,1408.6,1396.0,1268.8,1297.6,1324.4,1341.6,1357.6,1354.3,1380.4,1384.9,1394.7
2021,1407.6,1417.0,1426.2,1425.4,1438.5,1441.7,1466.8,1472.5,1485.5,1505.5,1515.5,1525.1
2022,1538.5,1547.9,1554.3,1569.6,1577.7,1581.9,1598.4,1607.9,1612.6,1614.8,1610.1,1618.2
2023,1617.0,1618.0,1621.1,1622.5,1624.4,1629.1,1628.7,1627.9,1631.1,1619.7,1621.6,1622.1
2024,1623.1,1620.7,1616.4,1627.5,1629.5,1635.5(P),,,,,,
