Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,7702.3,7723.4,7747.5,7781.4,7800.8,7821.4,7840.2,7864.1,7890.5,7907.5,7936.6,7962.1
2015,7978.7,8000.9,8023.0,8039.4,8075.5,8101.2,8124.7,8150.4,8170.0,8209.9,8238.5,8261.9
2016,8270.0,8293.9,8314.3,8342.3,8363.1,8370.8,8416.9,8429.3,8469.5,8467.2,8480.4,8496.5
2017,8522.5,8528.1,8545.1,8558.4,8576.6,8593.9,8600.2,8610.0,8452.7,8633.0,8650.6,8672.0
2018,8688.8,8710.3,8735.2,8749.8,8762.8,8784.8,8792.5,8824.1,8846.6,8852.6,8864.3,8870.7
2019,8894.8,8916.3,8928.6,8937.4,8944.3,8951.7,8969.7,8995.9,8989.5,9028.2,9047.6,9065.1
2020,9076.1,9087.1,9018.6,7801.8,8038.1,8328.9,8385.2,8417.7,8464.6,8561.5,8599.8,8633.2
2021,8676.0,8712.7,8758.2,8766.7,8825.5,8876.7,8977.9,8995.9,9031.3,9145.5,9185.4,9216.1
2022,9218.3,9278.9,9296.5,9365.7,9394.6,9412.5,9483.1,9522.9,9556.8,9570.0,9579.8,9612.1
2023,9645.0,9661.4,9688.0,9709.1,9729.4,9765.0,9760.3,9773.5,9792.4,9812.8,9846.6,9865.8
2024,9893.1,9888.7,9904.3,9945.6,9952.0,9961.9(P),,,,,,
