Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,153.2,153.8,154.8,156.0,157.1,158.2,159.9,161.0,162.2,163.2,163.9,165.5
2015,166.1,167.0,165.8,167.9,168.9,169.9,170.1,170.6,171.0,171.8,173.0,174.7
2016,174.1,175.0,175.9,177.0,178.0,178.9,180.8,181.7,182.9,183.0,185.0,185.4
2017,185.8,185.8,186.0,185.5,186.1,186.9,185.7,186.7,186.9,188.0,188.5,190.3
2018,190.5,192.5,193.6,195.0,195.0,195.6,196.2,196.6,197.7,197.9,196.8,198.7
2019,202.6,202.9,203.1,203.0,203.7,204.7,205.3,205.6,205.9,206.5,207.3,207.3
2020,207.3,208.1,207.8,195.9,197.9,199.1,199.6,200.3,200.8,201.0,201.2,201.5
2021,202.8,202.8,204.2,203.8,203.8,204.3,208.2,206.6,206.9,208.5,209.5,211.0
2022,210.2,210.8,211.3,212.5,213.3,213.3,213.9,214.2,215.4,216.2,215.9,216.8
2023,218.5,219.0,219.7,220.0,219.9,220.8,220.4,220.9,221.8,221.6,222.9,222.8
2024,222.1,223.7,226.9,225.6,223.1,222.4(P),,,,,,
