Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,419.9,418.0,422.2,426.2,426.4,425.7,429.2,430.4,431.3,433.9,435.2,438.2
2015,438.9,442.1,442.2,443.1,444.9,447.4,448.0,450.1,453.9,454.7,455.8,458.0
2016,458.6,459.3,459.6,464.5,466.3,466.6,466.6,468.0,471.2,470.8,473.2,473.3
2017,471.3,472.6,474.9,476.2,476.8,478.1,477.9,480.0,478.5,487.0,486.2,484.7
2018,485.8,485.5,488.6,487.0,488.2,489.7,491.1,491.7,492.2,490.6,490.8,491.9
2019,497.9,500.5,500.5,500.0,499.5,499.3,499.4,501.2,502.1,503.2,503.2,504.7
2020,505.0,505.7,488.7,286.2,342.3,384.7,391.6,402.9,411.4,419.7,425.1,428.8
2021,431.2,433.2,434.6,437.7,444.8,452.8,458.6,457.9,460.2,465.2,466.1,468.0
2022,467.6,471.1,472.8,481.5,483.6,486.9,490.7,491.9,495.1,496.4,498.7,500.5
2023,504.2,506.3,508.0,509.1,509.8,508.8,509.0,511.1,512.7,518.4,521.3,521.4
2024,523.7,524.7,526.1,527.3,527.0,528.1(P),,,,,,
