Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,360.1,360.7,362.5,363.5,364.7,366.1,367.4,369.2,369.9,370.1,371.2,372.2
2015,372.8,374.1,374.6,374.7,377.0,377.4,377.5,378.3,379.9,380.8,381.4,382.7
2016,384.3,384.5,385.0,386.6,386.4,386.9,388.1,388.9,389.6,389.8,391.1,392.2
2017,392.7,393.3,393.9,394.0,394.2,395.4,396.6,397.6,397.5,398.8,399.1,400.1
2018,401.4,402.5,402.5,402.0,403.3,404.4,404.0,405.3,406.8,407.1,407.2,407.4
2019,406.7,406.2,406.3,406.7,407.0,407.2,406.7,405.6,405.1,405.2,405.3,405.4
2020,404.0,404.1,403.3,358.8,370.7,378.7,377.0,380.6,382.8,383.7,384.8,386.5
2021,387.7,389.4,391.1,391.1,390.7,392.7,394.9,396.6,397.6,404.2,405.9,407.0
2022,407.8,412.0,413.0,414.3,415.5,416.1,418.9,419.0,421.4,422.1,422.6,423.6
2023,424.7,425.1,425.8,427.0,428.1,429.6,429.4,430.2,431.2,431.6,432.8,432.2
2024,431.7,432.3,433.1,436.0,435.3,435.3(P),,,,,,
