Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,152.8,152.7,152.9,153.7,153.5,153.7,153.9,154.2,154.1,154.2,154.5,155.0
2015,154.9,155.4,155.3,155.0,155.0,155.7,155.8,156.0,156.3,156.4,156.0,157.1
2016,156.9,156.7,157.1,157.2,156.9,157.2,157.0,157.1,157.1,157.7,158.1,158.2
2017,158.0,158.0,158.4,158.5,159.1,158.9,158.7,158.5,158.2,157.6,157.7,157.5
2018,157.6,158.1,158.8,158.8,159.9,160.6,161.1,161.4,162.1,162.5,162.0,162.2
2019,163.7,164.4,164.8,165.6,165.3,165.5,165.8,166.5,166.8,167.1,167.2,167.7
2020,168.4,168.7,167.4,120.8,137.4,144.0,146.5,148.6,149.9,151.5,152.3,154.2
2021,154.1,153.7,155.4,155.5,156.1,157.7,158.5,158.8,157.9,159.3,160.1,160.5
2022,159.8,160.7,160.9,162.2,162.3,161.6,162.4,163.4,164.3,164.6,164.9,164.9
2023,165.5,165.5,166.3,165.9,166.4,166.8,167.1,166.9,167.8,166.0,168.7,167.9
2024,168.8,168.5,168.7,168.9,168.7,168.1(P),,,,,,
