Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,518.4,517.5,521.0,522.5,523.9,525.0,527.0,530.0,531.2,530.1,531.3,534.8
2015,534.9,535.8,537.3,537.0,539.4,542.1,543.3,545.8,547.7,552.3,553.2,554.8
2016,557.2,559.2,560.0,562.4,563.0,564.1,565.0,566.3,568.1,568.8,570.1,569.8
2017,568.2,568.7,572.1,571.3,573.1,574.4,575.0,575.5,575.7,576.3,577.7,578.7
2018,579.6,580.9,582.4,583.8,585.8,587.4,590.3,591.8,593.9,593.2,594.7,595.4
2019,601.9,603.1,603.9,604.3,604.6,605.0,604.0,606.1,608.3,611.3,612.1,614.2
2020,616.6,618.4,617.4,545.9,565.4,575.8,573.6,577.8,580.4,585.1,588.0,592.6
2021,592.6,595.2,598.7,598.9,600.2,602.8,605.2,606.7,602.2,609.5,611.7,613.4
2022,615.3,617.3,619.8,624.6,625.9,628.8,632.1,633.2,635.7,636.9,639.2,641.3
2023,644.5,647.4,649.9,652.8,656.2,659.7,659.9,663.0,666.3,674.4,674.8,672.4
2024,673.7,670.1,674.9,678.2,681.2,685.2(P),,,,,,
