Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,615.5,612.6,623.2,624.0,628.2,628.6,633.5,635.4,638.2,637.5,641.3,642.6
2015,641.3,643.9,646.2,640.9,649.6,652.2,651.5,654.6,656.3,657.7,656.2,660.4
2016,661.1,662.5,662.9,665.8,668.1,667.4,675.4,677.8,682.0,680.5,681.9,685.3
2017,682.1,682.2,684.8,685.0,687.0,690.2,691.9,693.9,691.2,695.2,696.9,698.7
2018,697.3,699.8,704.3,702.5,700.7,705.3,705.1,707.4,711.2,707.9,709.9,710.0
2019,713.9,714.5,714.0,715.1,719.5,722.8,723.2,725.0,727.0,722.5,720.2,724.4
2020,727.2,726.2,725.4,647.4,660.3,670.5,679.2,687.7,690.4,699.7,706.5,715.1
2021,712.1,716.2,718.8,722.0,729.4,732.2,748.8,746.3,749.4,757.5,758.6,761.2
2022,764.3,766.3,768.0,776.5,777.6,780.0,793.4,787.4,790.8,777.7,778.9,779.2
2023,777.8,778.3,777.3,776.7,774.0,778.4,779.1,779.3,781.9,771.7,775.5,773.7
2024,776.1,771.2,775.8,777.9,776.8,775.6(P),,,,,,
